perfil,data,texto,reply_ou_original,tem_midia,tipo_midia,quotes,replies,retweets,likes,media_interacoes,link
americanas,Fri Jul 17 13:40:08 +0000 2020,"@marciCL Oi, Marci! Envia a imagem do seu boleto por DM, por favor? Obrigada.",reply,não,nenhum,0,0,0,0,0,https://www.twitter.com/americanascom/status/1284120705894887425
americanas,Fri Jul 17 13:16:45 +0000 2020,"@linexaup @sephorabrasil Oi, bom dia! Nós te respondemos por lá.",reply,não,nenhum,0,0,0,1,0.25,https://www.twitter.com/americanascom/status/1284114819575054339
americanas,Fri Jul 17 13:04:20 +0000 2020,"@wellington05_ Olá! Envia o número do seu pedido e um número de telefone com DDD, por DM, que a gente vai dar uma olhada. Obrigada!",reply,não,nenhum,0,0,0,0,0,https://www.twitter.com/americanascom/status/1284111697075212294
americanas,Fri Jul 17 13:04:19 +0000 2020,"@iurimourao Olá! Você sabe dizer o número desse pedido para a gente? Se não o tiver por perto, fala o CPF que você usou para fazer a compra que já ajuda bastante :) Te aguardamos no inbox!",reply,não,nenhum,0,0,0,0,0,https://www.twitter.com/americanascom/status/1284111691597348868
americanas,Fri Jul 17 12:50:27 +0000 2020,"@Jansen_cs Oi, bom dia! Envia pra gente por DM o número do seu pedido e um telefone para contato atual com DDD, por favor? Obrigada.",reply,não,nenhum,0,0,0,0,0,https://www.twitter.com/americanascom/status/1284108200187514880
americanas,Fri Jul 17 12:49:54 +0000 2020,"@deboravtoledo Por favor, envia pra gente por DM o número do seu pedido e o que aconteceu, vamos te ajudar. Obrigada.",reply,não,nenhum,0,0,0,0,0,https://www.twitter.com/americanascom/status/1284108062513672194
americanas,Fri Jul 17 12:49:50 +0000 2020,@jlucasalcantara Olá! Bom dia! A equipe está verificando com a loja parceira e eles vão te posicionar no prazo informado.,reply,não,nenhum,0,0,0,0,0,https://www.twitter.com/americanascom/status/1284108044385898501
americanas,Fri Jul 17 12:45:55 +0000 2020,"@MmipexRenata Qualquer dúvida, nos avise. 😉",reply,não,nenhum,0,1,0,1,0.5,https://www.twitter.com/americanascom/status/1284107061110898695
americanas,Fri Jul 17 12:43:30 +0000 2020,"@ViadinhoFudido Olá, Daniel! Você recusou a entrega no momento da compra ou a coleta aconteceu depois de um tempo do recebimento?",reply,não,nenhum,0,1,0,0,0.25,https://www.twitter.com/americanascom/status/1284106451443757057
americanas,Fri Jul 17 12:07:52 +0000 2020,"@oceandeIrey Pode seguir o nosso perfil, por favor? Precisamos que siga para conseguir te responder por DM. Obrigada!",original,não,nenhum,0,1,0,0,0.25,https://www.twitter.com/americanascom/status/1284097487238725632
americanas,Thu Jul 16 22:37:02 +0000 2020,@icwrdi tem um super cashback te esperando lá no app ;),reply,não,nenhum,0,0,0,0,0,https://www.twitter.com/americanascom/status/1283893432101015555
americanas,Thu Jul 16 22:36:25 +0000 2020,"@nilmoretto @BabuSantana oooba!
a gente amooou receber vocês hoje &lt;3",reply,não,nenhum,0,0,0,6,1.5,https://www.twitter.com/americanascom/status/1283893277125746688
americanas,Thu Jul 16 22:26:54 +0000 2020,"@Sonia76147819 oi, Sonia! tudo bem? essa promoção não é da Americanas. pode nos enviar um print ou o link dela, por favor? temos uma equipe especializada para tratar esse tipo de caso :)",reply,não,nenhum,0,5,0,0,1.25,https://www.twitter.com/americanascom/status/1283890880659824640
americanas,Thu Jul 16 22:26:06 +0000 2020,@aanasiilva_ 💕 ✨,reply,não,nenhum,0,0,0,1,0.25,https://www.twitter.com/americanascom/status/1283890679261941760
americanas,Thu Jul 16 22:25:14 +0000 2020,"@BnXande oooba! eles arrasam muito, né? 🤩",reply,não,nenhum,0,1,0,0,0.25,https://www.twitter.com/americanascom/status/1283890461321695238
americanas,Thu Jul 16 22:23:02 +0000 2020,@kellyluara_ oooba 📦🏃‍♀️💨 https://t.co/TRHGLPvPqC,reply,sim,animated_gif,0,1,1,1,0.75,https://www.twitter.com/americanascom/status/1283889907568648192
americanas,Thu Jul 16 22:13:07 +0000 2020,@vminpoesie me mandou DM todo dengoso e agora finge que não me conhece..... 🧐,reply,não,nenhum,0,0,0,1,0.25,https://www.twitter.com/americanascom/status/1283887413912391682
americanas,Thu Jul 16 22:07:44 +0000 2020,"E veeem que ainda dá tempo de garantir esse smartphone in-crí-vel que é o Galaxy M31 com R$199 de cashback + frete grátis! Mas é só hoje, viu? 👉 https://t.co/ymBIWZNtep https://t.co/jAYQhuR3cA",original,sim,photo,0,9,0,15,6,https://www.twitter.com/americanascom/status/1283886057797439498
americanas,Thu Jul 16 21:59:16 +0000 2020,E vamos de spoiler! @nilmoretto já contando que a próxima live do #AmericanasAoVivo é com... @BabuSantana ❤️,original,não,nenhum,1,6,4,108,29.75,https://www.twitter.com/americanascom/status/1283883928764456964
americanas,Thu Jul 16 21:42:05 +0000 2020,Quantas vezes você acha que o @CdNLeon já falou da bateria de 6.000mAh nessa live? https://t.co/tXsd1TpI9T #AmericanasAoVivo,original,não,nenhum,0,1,0,6,1.75,https://www.twitter.com/americanascom/status/1283879603178737667
americanas,Thu Jul 16 21:37:10 +0000 2020,Namore alguém que fale de você como o @CdNLeon fala da câmera macro do Galaxy M31 🤣 https://t.co/tXsd1TpI9T #AmericanasAoVivo https://t.co/s42bvXFM56,original,sim,video,0,3,1,10,3.5,https://www.twitter.com/americanascom/status/1283878368220516354
americanas,Thu Jul 16 21:34:41 +0000 2020,"@HeeyKatheryn Não tem cupom, mas tem cashback imperdível no smartphone. Corre pra aproveitar!",reply,não,nenhum,0,0,0,0,0,https://www.twitter.com/americanascom/status/1283877740022845441
americanas,Thu Jul 16 21:25:31 +0000 2020,"Design top + 3 cores pra você escolher. Quer, @? https://t.co/tXsd1TpI9T #AmericanasAoVivo https://t.co/JOYcln48Nv",original,sim,photo,0,4,0,11,3.75,https://www.twitter.com/americanascom/status/1283875435948969985
americanas,Thu Jul 16 21:22:08 +0000 2020,Já anota a dica aí: dá pra colocar tuuudo na cestinha enquanto olha pros rostinhos de @nilmoretto e @CdNLeon 😜 Vem pro app 👉 https://t.co/tXsd1TpI9T #AmericanasAoVivo https://t.co/Kx67e0hLx4,original,sim,video,2,8,0,48,14.5,https://www.twitter.com/americanascom/status/1283874584668917761
americanas,Thu Jul 16 21:14:01 +0000 2020,Já começooou! Quem aí tá assistindo? Vem saber tudo sobre o Samsung Galaxy M31 lá na live no app 👉 https://t.co/tXsd1TpI9T #AmericanasAoVivo,original,não,nenhum,0,2,1,11,3.5,https://www.twitter.com/americanascom/status/1283872541967355906
americanas,Thu Jul 16 21:09:05 +0000 2020,@Eduarda77072888 @RepublicaCdN @nilmoretto @CdNLeon Oba! Já começou ;),reply,não,nenhum,0,0,0,1,0.25,https://www.twitter.com/americanascom/status/1283871297349574658
americanas,Thu Jul 16 20:48:24 +0000 2020,"@LarissaFamily eeeita! você me manda o código desse produto pra eu alterar o preço, por favor? &lt;3",reply,não,nenhum,0,2,0,1,0.75,https://www.twitter.com/americanascom/status/1283866094999146496
americanas,Thu Jul 16 20:47:02 +0000 2020,"@joaorodriguesph oi, João! tudo bem? sim, nós temos essa opção para alguns produtos! se ela estiver disponível, vai aparecer a opção ""pegue na loja"" pra você :) ah, é sempre no finalzinho da compra!

qualquer dúvida fala comigo de novo ;)",reply,não,nenhum,0,0,0,0,0,https://www.twitter.com/americanascom/status/1283865748700635136
americanas,Thu Jul 16 20:39:14 +0000 2020,"@_jaqueroberta hmmm... hoje vai ter coisa boa na minha live. corre pro app, vai ser às 18h! 😍",reply,não,nenhum,0,0,0,0,0,https://www.twitter.com/americanascom/status/1283863788433874948
americanas,Thu Jul 16 20:37:51 +0000 2020,"@gabicassaobr ô, gente 🥺🥺🥺 fala que eu te escuto &lt;3 ou melhor, dou até cupom 🥺🥺🥺 ❤️",reply,não,nenhum,0,1,0,2,0.75,https://www.twitter.com/americanascom/status/1283863438784110612
americanas,Thu Jul 16 20:36:40 +0000 2020,"@Introvertgirrl olá! em alguns casos, os produtos ficam armazenados em depósitos distantes da sua casa, dependendo dos Correios e da transportadora, e isso acaba aumentando o frete 🚛 

Mas, pode deixar que já estamos fazendo o possível para deixar o frete com um preço mais bacana ;)",reply,não,nenhum,0,0,0,0,0,https://www.twitter.com/americanascom/status/1283863140996976641
