perfil,data,texto,reply_ou_original,tem_midia,tipo_midia,quotes,replies,retweets,likes,media_interacoes,link
Coca-Cola Brasil,Mon Jun 29 16:00:04 +0000 2020,"@Soares_Lisa Então Aproveita!😍 Clique aqui https://t.co/n2rl6icrCp e use o cupom 15COCACOLA para ganhar R$ 15,00 de desconto em duas McOfertas no seu primeiro pedido na Rappi!😉 https://t.co/bzfKuzWrYC",reply,sim,animated_gif,0,0,0,0,0,https://www.twitter.com/CocaCola_Br/status/1277632937031335936
Coca-Cola Brasil,Mon Jun 29 15:59:31 +0000 2020,"@_naahribeiro @xabellinha Como assim esquece de comer essa maravilha? Então para adiantar essa vontade, clique aqui 👉 https://t.co/n2rl6icrCp e use o cupom 15COCACOLA para ganhar R$ 15,00 de desconto em duas McOfertas no seu primeiro pedido na Rappi! Só vem! ❤ https://t.co/h2ZohhUS9b",reply,sim,animated_gif,0,0,0,0,0,https://www.twitter.com/CocaCola_Br/status/1277632799462371333
Coca-Cola Brasil,Mon Jun 29 15:59:07 +0000 2020,"@BrendoLira2 @EternoJosue Ah não ... cá estamos para matar essa vontade, temos uma boa pra você Bl 🍔 Clique aqui 👉 https://t.co/n2rl6icrCp Rappi + Mc Donalds - 15 reais desconto em duas McOfertas! https://t.co/BSf7im1Vgw",reply,sim,animated_gif,0,0,0,0,0,https://www.twitter.com/CocaCola_Br/status/1277632698727702534
Coca-Cola Brasil,Mon Jun 29 15:58:40 +0000 2020,"@ssflorrane @McDonalds_BR Sorte do dia! 🍀 Basta acessar: https://t.co/n2rl6icrCp e usar o cupom 15COCACOLA para ganhar R$ 15,00 de desconto em duas McOfertas no seu primeiro pedido na Rappi! 😉🍔 https://t.co/7HsEwfUN0V",reply,sim,animated_gif,0,0,0,1,0.25,https://www.twitter.com/CocaCola_Br/status/1277632586068746241
Coca-Cola Brasil,Mon Jun 29 15:58:13 +0000 2020,"@maavss_ @ttmfov7 Fome não existe no nosso dicionário,. 
Clique aqui 👉 https://t.co/n2rl6icrCp e use o cupom 15COCACOLA para ganhar R$ 15,00 de desconto em duas McOfertas no seu primeiro pedido na Rappi! Só vem! ❤ https://t.co/FFEcmdjIcn",reply,sim,animated_gif,0,0,0,1,0.25,https://www.twitter.com/CocaCola_Br/status/1277632473770459137
Coca-Cola Brasil,Mon Jun 29 15:58:13 +0000 2020,@youngfoIkz E com uma promo dessas? Clique aqui 👉 hClique aqui 👉 https://t.co/n2rl6icrCp Rappi + Mc Donalds - 15 reais desconto em duas McOfertas!❤ https://t.co/3RcIqaeXOC,reply,sim,animated_gif,0,0,0,0,0,https://www.twitter.com/CocaCola_Br/status/1277632473757868033
Coca-Cola Brasil,Mon Jun 29 15:57:22 +0000 2020,"@tayxxp Essas vontades que surgem do nada, né tata... Mata seu desejo de Méqui, só acessar o link: https://t.co/1O6cASke6m e aproveitar 40% OFF em 4 McOfertas Média + 20 Chicken McNuggets. + Coca-Cola. Delícia, né? https://t.co/qP5neLFQgt",reply,sim,animated_gif,0,0,0,0,0,https://www.twitter.com/CocaCola_Br/status/1277632260850749440
Coca-Cola Brasil,Mon Jun 29 15:56:59 +0000 2020,@JennySBraz A gente não pode deixar isso acontecer!🤗  Tem pratos com até 30% de desconto no Spoleto. Vem dar uma olhadinha!❤ https://t.co/BtlHE7acfu https://t.co/WmheZJ0BnN,reply,sim,animated_gif,0,0,0,1,0.25,https://www.twitter.com/CocaCola_Br/status/1277632163899486209
Coca-Cola Brasil,Mon Jun 29 15:55:42 +0000 2020,@Thaay_iluminada A gente te entende! E pra você fazer aquele almoção gostoso hoje que tal duas McOfertas com R$ 15 off? É só pedir aqui: https://t.co/n2rl6icrCp e aplicar o cupom 15COCACOLA no primeiro pedido! https://t.co/cYEH2ApkhC,reply,sim,animated_gif,0,0,0,0,0,https://www.twitter.com/CocaCola_Br/status/1277631840057274369
Coca-Cola Brasil,Mon Jun 29 15:55:37 +0000 2020,@ttvipdanina @Renawanderleyy A gente não pode deixar isso acontecer!🤗Clique aqui 👉 https://t.co/n2rl6icrCp Rappi + Mc Donalds - 15 reais desconto em duas McOfertas!❤ https://t.co/KMKmZWjg5J,reply,sim,animated_gif,0,1,0,0,0.25,https://www.twitter.com/CocaCola_Br/status/1277631816942395398
